time, location, uncertainty,time(adjusted)
1580697790.83,0,-1.7405396716,0
1580697790.85,0,1.8256236586,0.0199999809
1580697790.88,0,-6.5515789188,0.0500001907
1580697790.9,0,2.3854882954,0.0700001717
1580697790.93,0,-2.8991181936,0.1000001431
1580697790.97,0,0.0508774645,0.1400001049
1580697791,0,-16.4888278221,0.1700000763
1580697791.04,0,-0.6887716283,0.2100000381
1580697791.07,0,-0.1074423593,0.2400000095
1580697791.11,0,106.44276353,0.2799999714
1580697791.14,0,-0.7224757292,0.3100001812
1580697791.17,0,0.0537176063,0.3400001526
1580697791.22,0,-0.6615878797,0.3900001049
1580697791.31,0,1.2000856074,0.4800000191
1580697791.35,0,-0.3196380259,0.5199999809
1580697791.4,0,9.7013386615,0.5700001717
1580697791.44,0,0.7461026829,0.6100001335
1580697791.46,0,-11.0097148873,0.6300001144
1580697791.55,0,3.6350508542,0.7200000286
1580697791.59,0,0.0493215833,0.7599999905
1580697791.64,0,0.0248292373,0.8100001812
1580697791.66,0,-0.7655218497,0.8300001621
1580697791.7,0,1.9335553399,0.870000124
1580697791.75,0,0.3949046295,0.9200000763
1580697791.79,0,0.0477771298,0.9600000381
1580697791.83,0,-0.6100113973,1
1580697791.86,0,1.2499785063,1.0299999714
1580697791.9,0,0.0524970201,1.0700001717
1580697791.94,0,-0.6517075917,1.1100001335
1580697791.99,0,1.2119433978,1.1600000858
1580697792.03,0,-1.6238616283,1.2000000477
1580697792.07,0,1.1139217613,1.2400000095
1580697792.1,0,-0.9115294559,1.2699999809
1580697792.14,0,3.6932659342,1.3100001812
1580697792.24,0,-0.2135440884,1.4100000858
1580697792.29,0,0.2098351703,1.4600000381
1580697792.38,0,0.0030602192,1.5500001907
1580697792.43,0,0.0050923912,1.6000001431
1580697792.47,0,-0.3459116434,1.6400001049
1580697792.51,0,0.4682303816,1.6800000668
1580697792.52,0,0.0055678809,1.6900000572
1580697792.57,0,-0.0013327527,1.7400000095
1580697792.61,0,-0.0013692501,1.7799999714
1580697792.65,0,-0.1843811436,1.8200001717
1580697792.7,0,139.629169582,1.870000124
1580697792.74,0,-3.0862359566,1.9100000858
1580697792.79,0,6.4845178299,1.9600000381
1580697792.8,0,-0.4890637171,1.9700000286
1580697792.84,0,2.7329245312,2.0099999905
1580697792.88,0,-1.2721596503,2.0500001907
1580697792.97,0,-0.2898806775,2.1400001049
1580697793.08,0,0.8977101665,2.25
1580697793.12,0,-4.5113228785,2.2899999619
1580697793.17,0,0.0505603719,2.3400001526
1580697793.21,0,-27.6909681959,2.3800001144
1580697793.23,0,-4.1427368588,2.4000000954
1580697793.27,0,2.2376093093,2.4400000572
1580697793.32,0,-2.3790343871,2.4900000095
1580697793.41,0,2.7492560666,2.5800001621
1580697793.42,0,-0.016542515,2.5900001526
1580697793.46,0,-3.5078675053,2.6300001144
1580697793.55,0,-0.5712494357,2.7200000286
1580697793.59,0,11.8116222037,2.7599999905
1580697793.64,0,2.029651037,2.8100001812
1580697793.65,0,-1.3827826902,2.8200001717
1580697793.69,0,3.6705881229,2.8600001335
1580697793.73,0,-1.608134595,2.9000000954
1580697793.78,0,0.2787616558,2.9500000477
1580697793.83,0,-5.8075318603,3
1580697793.89,0,0.9635973672,3.0600001812
1580697793.93,0,-1.1723187143,3.1000001431
1580697794.02,0,1.0982129325,3.1900000572
1580697794.07,0,-0.9459643495,3.2400000095
1580697794.09,0,1.1854212982,3.2599999905
1580697794.14,0,-1.8763016403,3.3100001812
1580697794.18,0,0.7576943151,3.3500001431
1580697794.23,0,-12.760416315,3.4000000954
1580697794.27,0,3.9053777523,3.4400000572
1580697794.32,0,-0.5067751599,3.4900000095
1580697794.36,0,0.0554731523,3.5299999714
1580697794.41,0,-0.6751880978,3.5800001621
1580697794.45,0,1.1844467544,3.620000124
1580697794.49,0,-1.1017344349,3.6600000858
1580697794.54,0,1.5930464631,3.7100000381
1580697794.63,0,0.0484784362,3.8000001907
1580697794.67,0,-19.4676577264,3.8400001526
1580697794.72,0,3.2984104827,3.8900001049
1580697794.81,0,0.4625771772,3.9800000191
1580697794.85,0,0.0451226857,4.0199999809
1580697794.89,0,-22.2259919849,4.0600001812
1580697794.94,0,1.7033884685,4.1100001335
1580697794.98,0,0.3392664071,4.1500000954
1580697795.03,0,0.0818419392,4.2000000477
1580697795.07,0,-0.8087637885,4.2400000095
1580697795.11,0,0.053294833,4.2799999714
1580697795.16,0,-1.5068892712,4.3300001621
1580697795.2,0,1.333715537,4.370000124
1580697795.25,0,-16.5732787533,4.4200000763
1580697795.29,0,5.5980240342,4.4600000381
1580697795.33,0,-0.8007561653,4.5
1580697795.38,0,2.7534844107,4.5500001907
1580697795.47,0,0.0491082526,4.6400001049
1580697795.51,0,-7.9402844763,4.6800000668
1580697795.55,0,8.6373408385,4.7200000286
1580697795.64,0,-4.4813251949,4.8100001812
1580697795.69,0,0.0505641653,4.8600001335
1580697795.73,0,-23.6907840875,4.9000000954
1580697795.74,0,0.0501057495,4.9100000858
1580697795.78,0,-0.6312965577,4.9500000477
1580697795.82,0,-0.0655138166,4.9900000095
1580697795.87,0,317.64554484,5.0399999619
1580697795.91,0,-4.3616070681,5.0800001621
1580697795.93,0,0.0505798302,5.1000001431
1580697795.97,0,-53.3499596571,5.1400001049
1580697796.01,0,0.0520525858,5.1800000668
1580697796.04,0.0400120258,0.1020525858,5.2100000381
1580697796.06,0.0400120258,0.0196221256,5.2300000191
1580697796.1,0.0400120258,0.0140918748,5.2699999809
1580697796.19,0.0400120258,0.0112368441,5.3600001335
1580697796.24,0.0800168036,0.0612368441,5.4100000858
1580697796.25,0.0800168036,-4.778525464,5.4200000763
1580697796.34,0.0800168036,0.328861569,5.5099999905
1580697796.43,0.0800168036,0.0434012837,5.6000001431
1580697796.44,0.1199828148,0.0934012837,5.6100001335
1580697796.47,0.1199828148,-4.271968333,5.6400001049
1580697796.49,0.1199828148,0.0505921409,5.6600000858
1580697796.53,0.1199828148,-8.0462896985,5.7000000477
1580697796.58,0.1199828148,2.6664658775,5.75
1580697796.62,0.1199828148,0.0443435298,5.7899999619
1580697796.65,0.1600242138,0.0943435298,5.8200001717
1580697796.69,0.1600242138,-0.2764517354,5.8600001335
1580697796.73,0.1600242138,0.0610398801,5.9000000954
1580697796.77,0.1600242138,-8.8107135007,5.9400000572
1580697796.79,0.1600242138,2.6178698057,5.9600000381
1580697796.85,0.2005745888,2.6678698057,6.0199999809
1580697797.05,0.2408832072,2.7178698057,6.2200000286
1580697797.25,0.2812240124,2.7678698057,6.4200000763
1580697797.33,0.2812240124,-0.3341487646,6.5
1580697797.37,0.2812240124,0.6819100113,6.5399999619
1580697797.4,0.2812240124,0.0465842795,6.5700001717
1580697797.45,0.3201732158,0.0965842795,6.620000124
1580697797.45,0.3201732158,0.0202959896,6.620000124
1580697797.49,0.3201732158,-2.5678459019,6.6600000858
1580697797.53,0.3201732158,-0.6005752749,6.7000000477
1580697797.64,0.3600012302,-0.5505752749,6.8100001812
1580697797.73,0.3600012302,0.0709385914,6.9000000954
1580697797.83,0.3600012302,-26.5070718648,7
1580697797.84,0.3999661922,-26.4570718648,7.0099999905
1580697797.87,0.3999661922,0.0099741195,7.0399999619
1580697797.91,0.3999661922,-4.0029111076,7.0800001621
1580697798,0.3999661922,5.6726608459,7.1700000763
1580697798.05,0.4402076244,5.7226608459,7.2200000286
1580697798.05,0.4402076244,0.0100894235,7.2200000286
1580697798.07,0.4402076244,0.0077093237,7.2400000095
1580697798.11,0.4402076244,-0.0242657042,7.2799999714
1580697798.15,0.4402076244,-7.7114681092,7.3200001717
1580697798.2,0.4402076244,-0.2020439144,7.370000124
1580697798.24,0.4402076244,1.3915303262,7.4100000858
